scons: Reading SConscript files ...
scons: done reading SConscript files.
scons: Building targets ...
misc/run_cmd ...
Timer interval: 400000
POK kernel initialized
# Vertical Speed control: 0 m/s -> 2.5 m/s and Airspeed: 230 m/s
# Column headers are:
# - T: simulation time [s] 
# - Va: airspeed [m/s]
# - az: normal acceleration [m/s^2] 
# - q: pitch rate [rad/s] 
# - Vz: vertical speed [m/s] 
# - h: altitude [m] 
# - delta_th_c: commanded throttle [-] 
# - delta_e_c: commanded elevator deflection [rad] 
# T, Va, Az, q, Vz, h, delta_th_c, delta_e_c
0.00000000000000,230.000015258789062,0.053991317749023,0.000000000000000,0.000000000000000,10000.000000000000000,113.553878784179687,0.012009616009891
0.03300000000000,230.000091552734375,0.053836822509765,0.000136778180603,0.000267982482910,10000.000000000000000,113.782974243164062,0.011978248134255
0.06600000000000,230.000152587890625,0.053593635559082,0.000273258599918,0.000535488128662,10000.000000000000000,114.012062072753906,0.011946881189942
0.09900000000000,230.000228881835937,0.053264617919921,0.000409437576308,0.000801563262939,10000.000000000000000,114.241157531738281,0.011915514245629
0.13200000000000,230.000289916992187,0.052849769592285,0.000545311486348,0.001066207885742,10000.000000000000000,114.470245361328125,0.011884147301316
0.16500000000000,230.000366210937500,0.052348136901855,0.000680876662954,0.001329421997070,10000.000000000000000,114.699340820312500,0.011852780357003
0.19800000000000,230.000427246093750,0.051762580871582,0.000816129671875,0.001587867736816,10000.000000000000000,114.928428649902343,0.011821412481367
0.23100000000000,230.000503540039062,0.051088333129882,0.000951066904235,0.001844882965087,10000.000000000000000,115.157524108886718,0.011790045537054
0.26400000000000,230.000579833984375,0.050333023071289,0.001085684867575,0.002098560333251,10000.000000000000000,115.386611938476562,0.011758678592741
0.29700000000000,230.000656127929687,0.049491882324218,0.001219980069436,0.002348899841308,10000.000000000000000,115.615707397460937,0.011727311648428
0.33000000000000,230.000717163085937,0.048567771911621,0.001353949075564,0.002593994140625,10000.000000000000000,115.844795227050781,0.011695943772792
0.36300000000000,230.000793457031250,0.047558784484863,0.001487588393501,0.002835273742675,10000.000000000000000,116.073890686035156,0.011664576828479
0.39600000000000,230.000854492187500,0.046469688415527,0.001620894763618,0.003071784973144,10000.000000000000000,116.302986145019531,0.011633209884166
0.42900000000000,230.000930786132812,0.045297622680664,0.001753864693455,0.003301620483398,10000.000000000000000,116.532073974609375,0.011601842939853
0.46200000000000,230.000991821289062,0.044043540954589,0.001886494923382,0.003526687622070,10000.000000000000000,116.761169433593750,0.011570475995540
0.49500000000000,230.001068115234375,0.042705535888671,0.002018782077357,0.003745555877685,10000.000000000000000,116.990257263183593,0.011539108119904
0.52800000000000,230.001129150390625,0.041289329528808,0.002150722779333,0.003957748413085,10000.000000000000000,117.219352722167968,0.011507741175591
0.56100000000000,230.001190185546875,0.039791107177734,0.002282314002513,0.004161834716796,10000.000000000000000,117.448440551757812,0.011476374231278
