scons: Reading SConscript files ...
scons: done reading SConscript files.
scons: Building targets ...
misc/run_cmd ...
Timer interval: 400000
POK kernel initialized
# Vertical Speed control: 0 m/s -> 2.5 m/s and Airspeed: 230 m/s
# Column headers are:
# - T: simulation time [s] 
# - Va: airspeed [m/s]
# - az: normal acceleration [m/s^2] 
# - q: pitch rate [rad/s] 
# - Vz: vertical speed [m/s] 
# - h: altitude [m] 
# - delta_th_c: commanded throttle [-] 
# - delta_e_c: commanded elevator deflection [rad] 
# T, Va, Az, q, Vz, h, delta_th_c, delta_e_c
395.0000,212.671432495117187,-0.588666915893554,0.002710801083594,-29.149337768554687,10339.800781250000000,339.669921875000000,-0.018949462100863
396.0000,212.602508544921875,-0.581727027893066,0.002678845077753,-29.165645599365234,10341.255859375000000,340.357238769531250,-0.019043561071157
397.0000,212.533477783203125,-0.574786186218261,0.002646855311468,-29.181587219238281,10342.710937500000000,340.815429687500000,-0.019106294959783
398.0000,212.464401245117187,-0.567834854125976,0.002614832483232,-29.197174072265625,10344.166015625000000,341.502685546875000,-0.019200393930077
399.0000,212.395339965820312,-0.560877799987793,0.002582777990028,-29.212398529052734,10345.628906250000000,341.960906982421875,-0.019263127818703
400.0000,212.326263427734375,-0.553916931152343,0.002550692297518,-29.227268218994140,10347.093750000000000,342.648193359375000,-0.019357228651642
401.0000,212.257186889648437,-0.546955108642578,0.002518576104193,-29.241786956787109,10348.558593750000000,343.106384277343750,-0.019419962540268
402.0000,212.187988281250000,-0.539989471435546,0.002486429177224,-29.255926132202148,10350.023437500000000,343.793670654296875,-0.019514059647917
403.0000,212.118759155273437,-0.533021926879882,0.002454251516610,-29.269701004028320,10351.488281250000000,344.251892089843750,-0.019576793536543
404.0000,212.049530029296875,-0.526052474975585,0.002422043355181,-29.283123016357421,10352.953125000000000,344.939147949218750,-0.019670894369482
405.0000,211.980316162109375,-0.519083976745605,0.002389805624261,-29.296192169189453,10354.417968750000000,345.397338867187500,-0.019733628258109
406.0000,211.911087036132812,-0.512111663818359,0.002357539953663,-29.308914184570312,10355.882812500000000,346.084655761718750,-0.019827729091048
407.0000,211.841842651367187,-0.505138397216796,0.002325247973203,-29.321275711059570,10357.347656250000000,346.542846679687500,-0.019890462979674
408.0000,211.772460937500000,-0.498158454895019,0.002292928984388,-29.333261489868164,10358.812500000000000,347.230133056640625,-0.019984560087323
409.0000,211.703079223632812,-0.491177558898925,0.002260583452880,-29.344886779785156,10360.277343750000000,347.688323974609375,-0.020047293975949
410.0000,211.633697509765625,-0.484197616577148,0.002228211145848,-29.356155395507812,10361.742187500000000,348.375610351562500,-0.020141394808888
411.0000,211.564331054687500,-0.477222442626953,0.002195812994614,-29.367073059082031,10363.207031250000000,348.833801269531250,-0.020204128697514
